Ref,Val,Package,PosX,PosY,Rot,Side
"U72","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",105.000000,-62.000000,0.000000,top
"U73","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",103.000000,-62.000000,0.000000,top
"U74","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",107.000000,-64.000000,0.000000,top
"U75","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",105.000000,-64.000000,0.000000,top
"U76","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",103.000000,-64.000000,0.000000,top
"U77","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",107.000000,-66.000000,0.000000,top
"U78","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",105.000000,-66.000000,0.000000,top
"U79","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",103.000000,-66.000000,0.000000,top
"U80","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",107.000000,-68.000000,0.000000,top
"U81","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",105.000000,-68.000000,0.000000,top
"U82","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",103.000000,-68.000000,0.000000,top
"U83","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",113.000000,-52.000000,0.000000,top
"U84","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",111.000000,-52.000000,0.000000,top
"U85","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",109.000000,-52.000000,0.000000,top
"U86","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",113.000000,-54.000000,0.000000,top
"U87","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",111.000000,-54.000000,0.000000,top
"U88","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",109.000000,-54.000000,0.000000,top
"U89","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",113.000000,-56.000000,0.000000,top
"U90","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",111.000000,-56.000000,0.000000,top
"U91","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",109.000000,-56.000000,0.000000,top
"U92","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",113.000000,-58.000000,0.000000,top
"U93","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",111.000000,-58.000000,0.000000,top
"U94","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",109.000000,-58.000000,0.000000,top
"U95","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",113.000000,-60.000000,0.000000,top
"U96","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",111.000000,-60.000000,0.000000,top
"U97","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",109.000000,-60.000000,0.000000,top
"U98","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",113.000000,-62.000000,0.000000,top
"U99","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",111.000000,-62.000000,0.000000,top
"U100","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",109.000000,-62.000000,0.000000,top
"U101","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",113.000000,-64.000000,0.000000,top
"U102","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",111.000000,-64.000000,0.000000,top
